id,node_id,timestamp,mode,collection_label,trial_state,inference_class,event_marker,cigarette_detected,inference_score,model_version,voc_raw,co_raw,voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,pms_valid,classification,received_at
11767,node_01,1781250814,inference,,,normal_air,,false,0,backend_rule_v0,2629,3587,2272,2913,8,12,13,22.6,51.7,true,normal_air,1781250815675
11768,node_01,1781250815,inference,,,normal_air,,false,0,backend_rule_v0,2653,3641,2283,2910,8,13,14,22.5,51.7,true,normal_air,1781250816727
11769,node_01,1781250816,inference,,,normal_air,,false,0,backend_rule_v0,2631,3586,2273,2907,9,15,16,22.5,51.7,true,normal_air,1781250817784
11770,node_01,1781250817,inference,,,normal_air,,false,0,backend_rule_v0,2652,3640,2279,2911,11,16,18,22.5,51.7,true,normal_air,1781250818811
11771,node_01,1781250818,inference,,,normal_air,,false,0,backend_rule_v0,2638,3585,2271,2910,12,18,19,22.5,51.6,true,normal_air,1781250819854
11772,node_01,1781250819,inference,,,normal_air,,false,0,backend_rule_v0,2653,3643,2283,2908,13,20,22,22.5,51.6,true,normal_air,1781250820895
11773,node_01,1781250820,inference,,,normal_air,,false,0,backend_rule_v0,2634,3595,2274,2909,14,22,23,22.5,51.6,true,normal_air,1781250821941
11774,node_01,1781250821,inference,,,normal_air,,false,0.016,backend_rule_v0,2655,3648,2286,2912,17,27,28,22.5,51.7,true,normal_air,1781250822986
11775,node_01,1781250822,inference,,,normal_air,,false,0.05600000000000001,backend_rule_v0,2633,3600,2274,2908,21,32,35,22.5,51.7,true,normal_air,1781250824034
11776,node_01,1781250823,inference,,,normal_air,,false,0.08000000000000002,backend_rule_v0,2651,3639,2279,2909,23,35,41,22.5,51.7,true,normal_air,1781250825089
11777,node_01,1781250824,inference,,,normal_air,,false,0.11200000000000002,backend_rule_v0,2638,3596,2276,2913,26,39,46,22.5,51.6,true,normal_air,1781250826138
11778,node_01,1781250825,inference,,,normal_air,,false,0.12,backend_rule_v0,2654,3647,2281,2910,27,40,48,22.5,51.6,true,normal_air,1781250827170
11779,node_01,1781250826,inference,,,normal_air,,false,0.136,backend_rule_v0,2632,3596,2274,2909,28,42,51,22.5,51.6,true,normal_air,1781250828217
11780,node_01,1781250827,inference,,,normal_air,,false,0.15200000000000002,backend_rule_v0,2649,3648,2286,2907,29,44,53,22.5,51.5,true,normal_air,1781250829274
11781,node_01,1781250828,inference,,,normal_air,,false,0.16000000000000003,backend_rule_v0,2631,3592,2273,2911,30,45,54,22.5,51.5,true,normal_air,1781250830313
11782,node_01,1781250829,inference,,,normal_air,,false,0.168,backend_rule_v0,2646,3647,2276,2910,31,46,56,22.5,51.5,true,normal_air,1781250831355
11783,node_01,1781250830,inference,,,normal_air,,false,0.17600000000000002,backend_rule_v0,2637,3585,2274,2911,32,47,57,22.5,51.5,true,normal_air,1781250832403
11784,node_01,1781250831,inference,,,normal_air,,false,0.18400000000000002,backend_rule_v0,2651,3646,2280,2912,33,48,57,22.5,51.5,true,normal_air,1781250833453
11785,node_01,1781250832,inference,,,normal_air,,false,0.17600000000000002,backend_rule_v0,2628,3557,2273,2910,32,47,56,22.5,51.5,true,normal_air,1781250834503
